Informacion_Taxonomica,,,,
Codigo TAXONOMICO,ID Taxonomia,ESTADO TAXONOMICO,RANGO DE TAXON,TAXON OBSERVACIONES
CS80,T80,Aceptado,Especie, Sulzbacheromyces chocoensis | Nuevo taxón incluido
CS81,T81,Aceptado,Especie, Sulzbacheromyces tutunendo | Nuevo taxón incluido
CS82,T82,Aceptado,Especie, Anomobryum clavicaule
CS83,T83,Aceptado,Especie, Bryum sordidum
CS84,T84,Aceptado,Especie, Schizymenium pectinatum
CS85,T85,Aceptado,Especie, Dicranella muralis
CS86,T86,Sinónimo,Especie, Dicranella pusilla
CS87,T87,Aceptado,Especie, Pleuridium lindigianum
CS88,T88,Aceptado,Especie, Calyptrochaeta nutans
CS89,T89,Aceptado,Especie, Leskeodon paisa | Pasa de VU a CR
CS90,T90,Aceptado,Especie, Lepidopilum wallisii | Nuevo taxón incluido
CS91,T91,Aceptado,Especie, Eurhynchium semitortum
CS92,T92,Aceptado,Especie, Trichosteleum mastopomatoides | Pasa de VU a CR
CS93,T93,Aceptado,Especie, Cyrtohypnum arzobispoae
CS94,T94,Aceptado,Especie, Macromitrium tocaremae
CS95,T95,Aceptado,Especie, Didymodon lindigii
CS96,T96,Aceptado,Especie, Tayloria altorum | Nuevo taxón incluido
CS97,T97,Aceptado,Especie, Sphagnum angustifolium | Nuevo taxón incluido
CS98,T98,Aceptado,Especie, Sphagnum antioquiense | Nuevo taxón incluido
CS99,T99,Aceptado,Especie, Sphagnum boomii | Nuevo taxón incluido
CS100,T100,Aceptado,Especie, Sphagnum boyacanum | Pasa de VU a CR
CS101,T101,Sinónimo,Especie, Sphagnum capillaceum | Nuevo taxón incluido
CS102,T102,Aceptado,Especie, Sphagnum cleefii | Pasa de VU a CR
CS103,T103,Aceptado,Especie, Sphagnum curvatulum | Nuevo taxón incluido
CS104,T104,Aceptado,Especie, Sphagnum diblastoides | Nuevo taxón incluido
CS105,T105,Aceptado,Especie, Sphagnum falcatulum | Nuevo taxón incluido
CS106,T106,Aceptado,Especie, Sphagnum imperforatum | Pasa de VU a CR
CS107,T107,Aceptado,Especie, Sphagnum laxirameum | Pasa de EN a VU
CS108,T108,Aceptado,Especie, Sphagnum lewisii | Nuevo taxón incluido
CS109,T109,Aceptado,Especie, Sphagnum ornatum | Nuevo taxón incluido
CS110,T110,Aceptado,Especie, Sphagnum platyphyllum | Nuevo taxón incluido
CS111,T111,Aceptado,Especie, Sphagnum pylaesii | Nuevo taxón incluido
CS112,T112,Aceptado,Especie, Sphagnum rotundatum | Nuevo taxón incluido
CS113,T113,Aceptado,Especie, Sphagnum santanderense | Nuevo taxón incluido
