id_taxonomia,estado_taxonomico,observacion_taxonomica,rango_taxonomico,codigo_clasificacion
T81,Aceptado, Sulzbacheromyces tutunendo | Nuevo taxón incluido,Especie,CS81
T82,Aceptado, Anomobryum clavicaule,Especie,CS82
T83,Aceptado, Bryum sordidum,Especie,CS83
T84,Aceptado, Schizymenium pectinatum,Especie,CS84
T85,Aceptado, Dicranella muralis,Especie,CS85
T86,Sinónimo, Dicranella pusilla,Especie,CS86
T87,Aceptado, Pleuridium lindigianum,Especie,CS87
T88,Aceptado, Calyptrochaeta nutans,Especie,CS88
T89,Aceptado, Leskeodon paisa | Pasa de VU a CR,Especie,CS89
T90,Aceptado, Lepidopilum wallisii | Nuevo taxón incluido,Especie,CS90
T91,Aceptado, Eurhynchium semitortum,Especie,CS91
T92,Aceptado, Trichosteleum mastopomatoides | Pasa de VU a CR,Especie,CS92
T93,Aceptado, Cyrtohypnum arzobispoae,Especie,CS93
T94,Aceptado, Macromitrium tocaremae,Especie,CS94
T95,Aceptado, Didymodon lindigii,Especie,CS95
T96,Aceptado, Tayloria altorum | Nuevo taxón incluido,Especie,CS96
T97,Aceptado, Sphagnum angustifolium | Nuevo taxón incluido,Especie,CS97
T98,Aceptado, Sphagnum antioquiense | Nuevo taxón incluido,Especie,CS98
T99,Aceptado, Sphagnum boomii | Nuevo taxón incluido,Especie,CS99
T100,Aceptado, Sphagnum boyacanum | Pasa de VU a CR,Especie,CS100
T101,Sinónimo, Sphagnum capillaceum | Nuevo taxón incluido,Especie,CS101
T102,Aceptado, Sphagnum cleefii | Pasa de VU a CR,Especie,CS102
T103,Aceptado, Sphagnum curvatulum | Nuevo taxón incluido,Especie,CS103
T104,Aceptado, Sphagnum diblastoides | Nuevo taxón incluido,Especie,CS104
T105,Aceptado, Sphagnum falcatulum | Nuevo taxón incluido,Especie,CS105
T106,Aceptado, Sphagnum imperforatum | Pasa de VU a CR,Especie,CS106
T107,Aceptado, Sphagnum laxirameum | Pasa de EN a VU,Especie,CS107
T108,Aceptado, Sphagnum lewisii | Nuevo taxón incluido,Especie,CS108
T109,Aceptado, Sphagnum ornatum | Nuevo taxón incluido,Especie,CS109
T110,Aceptado, Sphagnum platyphyllum | Nuevo taxón incluido,Especie,CS110
T111,Aceptado, Sphagnum pylaesii | Nuevo taxón incluido,Especie,CS111
T112,Aceptado, Sphagnum rotundatum | Nuevo taxón incluido,Especie,CS112
T113,Aceptado, Sphagnum santanderense | Nuevo taxón incluido,Especie,CS113
T114,Aceptado, Sphagnum sonsonense | Nuevo taxón incluido,Especie,CS114
T115,Aceptado, Sphagnum squarrosum | Nuevo taxón incluido,Especie,CS115
T116,Aceptado, Sphagnum sumapazense | Nuevo taxón incluido,Especie,CS116
T117,Aceptado, Neesioscyphus allionii | Corrección ortográfica | Pasa de VU a CR,Especie,CS117
T118,Aceptado, Ruizanthus venezuelanus,Especie,CS118
T119,Aceptado, Nowellia curvifolia | Pasa de VU a EN,Especie,CS119
T120,Aceptado, Cephaloziella divaricata | Pasa de VU a CR,Especie,CS120
T121,Aceptado, Cephaloziopsis intertexta | Pasa de VU a EN,Especie,CS121
T122,Aceptado, Bazzania denticulifera | Nuevo taxón incluido,Especie,CS122
T123,Aceptado, Micropterygium longicellulatum | Nuevo taxón incluido,Especie,CS123
T124,Aceptado, Chaetocolea palmata,Especie,CS124
T125,Aceptado, Temnoma chaetophyllum | Corrección ortográfica | Pasa de VU a CR,Especie,CS125
T126,Aceptado, Metzgeria lechleri | Pasa de VU a EN,Especie,CS126
T127,Aceptado, Blepharolejeunea saccata | Pasa de VU a CR,Especie,CS127
T128,Aceptado, Ceratolejeunea globulifera | Pasa de VU a EN,Especie,CS128
T129,Aceptado, Cheilolejeunea aurifera,Especie,CS129
T130,Aceptado, Cheilolejeunea tonduzana,Especie,CS130
T131,Aceptado, Cololejeunea minuscula,Especie,CS131
T132,Aceptado, Cololejeunea papilliloba | Corrección ortográfica | Mantiene categoría Resolución 1912 de 2017,Especie,CS132
T133,Aceptado, Cololejeunea sicifolia,Especie,CS133
T134,Aceptado, Colura cylindrica | Pasa de VU a EN,Especie,CS134
T135,Aceptado, Dibrachiella bischleriana | Nuevo taxón incluido,Especie,CS135
T136,Aceptado, Lejeunea inflexiloba | Nuevo taxón incluido,Especie,CS136
T137,Aceptado, Prionolejeunea magnistipula | Nuevo taxón incluido,Especie,CS137
T138,Aceptado, Porella brachiata,Especie,CS138
T139,Aceptado, Riccia weinionis | Pasa de VU a CR,Especie,CS139
T140,Aceptado, Alsophila esmeraldensis | Nuevo taxón incluido,Especie,CS140
T141,Aceptado, Alsophila imrayana | Nuevo taxón incluido,Especie,CS141
T142,Aceptado, Alsophila incana | Nuevo taxón incluido,Especie,CS142
T143,Aceptado, Alsophila paucifolia,Especie,CS143
T144,Aceptado, Alsophila rupestris | Nuevo taxón incluido,Especie,CS144
T145,Aceptado, Cyathea acutidens | Nuevo taxón incluido,Especie,CS145
T146,Aceptado, Cyathea aemula | Nuevo taxón incluido,Especie,CS146
T147,Aceptado, Cyathea antioquensis | Nuevo taxón incluido,Especie,CS147
T148,Aceptado, Cyathea arborea | Nuevo taxón incluido,Especie,CS148
T149,Aceptado, Cyathea boconensis | Nuevo taxón incluido,Especie,CS149
T150,Aceptado, Cyathea callejasii | Nuevo taxón incluido,Especie,CS150
T151,Aceptado, Cyathea cardenasii | Nuevo taxón incluido,Especie,CS151
T152,Aceptado, Cyathea cervantesiana | Nuevo taxón incluido,Especie,CS152
T153,Aceptado, Cyathea clandestina | Nuevo taxón incluido,Especie,CS153
T154,Aceptado, Cyathea coloradoana | Nuevo taxón incluido,Especie,CS154
T155,Aceptado, Cyathea eggersii | Nuevo taxón incluido,Especie,CS155
T156,Aceptado, Cyathea giraldoi | Nuevo taxón incluido,Especie,CS156
T157,Aceptado, Cyathea gracilis | Nuevo taxón incluido,Especie,CS157
T158,Aceptado, Cyathea guentheriana | Nuevo taxón incluido,Especie,CS158
T159,Aceptado, Cyathea haughtii | Nuevo taxón incluido,Especie,CS159
T160,Aceptado, Cyathea kalbreyeri | Nuevo taxón incluido,Especie,CS160
T161,Aceptado, Cyathea kessleriana | Nuevo taxón incluido,Especie,CS161
T162,Aceptado, Cyathea lindigii | Nuevo taxón incluido,Especie,CS162
T163,Aceptado, Cyathea longipetiolulata | Nuevo taxón incluido,Especie,CS163
T164,Aceptado, Cyathea minuta | Nuevo taxón incluido,Especie,CS164
T165,Aceptado, Cyathea nodulifera | Nuevo taxón incluido,Especie,CS165
T166,Aceptado, Cyathea oblonga | Nuevo taxón incluido,Especie,CS166
T167,Aceptado, Cyathea obnoxia | Nuevo taxón incluido,Especie,CS167
T168,Aceptado, Cyathea pacis | Nuevo taxón incluido,Especie,CS168
T169,Aceptado, Cyathea pholidota | Nuevo taxón incluido,Especie,CS169
T170,Aceptado, Cyathea pilozana | Nuevo taxón incluido,Especie,CS170
T171,Aceptado, Cyathea pinnuloides | Nuevo taxón incluido,Especie,CS171
T172,Aceptado, Cyathea prosopioides | Nuevo taxón incluido,Especie,CS172
T173,Aceptado, Cyathea renjifoi | Nuevo taxón incluido,Especie,CS173
T174,Aceptado, Cyathea retanae | Nuevo taxón incluido,Especie,CS174
T175,Aceptado, Cyathea rodriguezii | Nuevo taxón incluido,Especie,CS175
T176,Aceptado, Cyathea singularis | Nuevo taxón incluido,Especie,CS176
T177,Aceptado, Cyathea straminea | Nuevo taxón incluido,Especie,CS177
T178,Aceptado, Cyathea tejedoris | Nuevo taxón incluido,Especie,CS178
T179,Aceptado, Cyathea toroii | Nuevo taxón incluido,Especie,CS179
T180,Aceptado, Cyathea uleana | Nuevo taxón incluido,Especie,CS180
T181,Aceptado, Cyathea uregoana | Nuevo taxón incluido,Especie,CS181
T182,Aceptado, Cyathea varians | Nuevo taxón incluido,Especie,CS182
T183,Aceptado, Cyathea werffii | Nuevo taxón incluido,Especie,CS183
