id_taxonomia,estado_taxonomico,observacion_taxonomica,rango_taxonomico,codigo_clasificacion
T353,Aceptado, Viburnum subsessile | Nuevo taxón incluido,Especie,CS353
T354,Aceptado, Viburnum suratense | Nuevo taxón incluido,Especie,CS354
T355,Aceptado, Saurauia chocoensis | Nuevo taxón incluido,Especie,CS355
T356,Aceptado, Saurauia micayensis | Nuevo taxón incluido,Especie,CS356
T357,Aceptado, Saurauia oroquensis | Nuevo taxón incluido,Especie,CS357
T358,Aceptado, Saurauia pulchra | Nuevo taxón incluido,Especie,CS358
T359,Aceptado, Bejaria nana | Nuevo taxón incluido,Especie,CS359
T360,Aceptado, Cavendishia dendrophila | Nuevo taxón incluido,Especie,CS360
T361,Aceptado, Cavendishia jardinensis | Nuevo taxón incluido,Especie,CS361
T362,Aceptado, Cavendishia longirachis | Nuevo taxón incluido,Especie,CS362
T363,Aceptado, Cavendishia macrocephala | Nuevo taxón incluido,Especie,CS363
T364,Aceptado, Cavendishia nuda | Nuevo taxón incluido,Especie,CS364
T365,Aceptado, Cavendishia sessiliflora | Nuevo taxón incluido,Especie,CS365
T366,Aceptado, Cavendishia sophoclesioides | Nuevo taxón incluido,Especie,CS366
T367,Aceptado, Macleania crassa,Especie,CS367
T368,Aceptado, Macleania pubiflora,Especie,CS368
T369,Aceptado, Orthaea caudata | Nuevo taxón incluido,Especie,CS369
T370,Aceptado, Orthaea cavendishioides,Especie,CS370
T371,Aceptado, Pernettya hirta | Nuevo taxón incluido,Especie,CS371
T372,Aceptado, Plutarchia coronaria,Especie,CS372
T373,Aceptado, Plutarchia dasyphylla | Nuevo taxón incluido,Especie,CS373
T374,Aceptado, Plutarchia dichogama | Nuevo taxón incluido,Especie,CS374
T375,Aceptado, Plutarchia guascensis | Nuevo taxón incluido,Especie,CS375
T376,Aceptado, Plutarchia minor | Nuevo taxón incluido,Especie,CS376
T377,Aceptado, Plutarchia miranda,Especie,CS377
T378,Aceptado, Plutarchia monantha,Especie,CS378
T379,Aceptado, Plutarchia pubiflora | Nuevo taxón incluido,Especie,CS379
T380,Aceptado, Plutarchia rigida,Especie,CS380
T381,Aceptado, Semiramisia pulcherrima | Nuevo taxón incluido,Especie,CS381
T382,Aceptado, Themistoclesia mucronata,Especie,CS382
T383,Aceptado, Themistoclesia recurva | Nuevo taxón incluido,Especie,CS383
T384,Aceptado, Themistoclesia rostrata,Especie,CS384
T385,Aceptado, Thibaudia fallax | Nuevo taxón incluido,Especie,CS385
T386,Aceptado, Bertholletia excelsa,Especie,CS386
T387,Aceptado, Cariniana pyriformis,Especie,CS387
T388,Aceptado, Couroupita nicaraguarensis,Especie,CS388
T389,Aceptado, Eschweilera bogotensis,Especie,CS389
T390,Aceptado, Eschweilera cabrerana,Especie,CS390
T391,Aceptado, Eschweilera integricalyx,Especie,CS391
T392,Aceptado, Eschweilera neei,Especie,CS392
T393,Aceptado, Eschweilera pachyderma,Especie,CS393
T394,Aceptado, Eschweilera rimbachii,Especie,CS394
T395,Aceptado, Grias colombiana,Especie,CS395
T396,Aceptado, Grias multinervia,Especie,CS396
T397,Aceptado, Gustavia angustifolia,Especie,CS397
T398,Aceptado, Gustavia dubia,Especie,CS398
T399,Aceptado, Gustavia excelsa,Especie,CS399
T400,Sinónimo, Gustavia foliosa,Especie,CS400
T401,Aceptado, Gustavia gentryi,Especie,CS401
T402,Aceptado, Gustavia gracillima,Especie,CS402
T403,Aceptado, Gustavia grandibracteata,Especie,CS403
T404,Aceptado, Gustavia latifolia,Especie,CS404
T405,Aceptado, Gustavia longifuniculata,Especie,CS405
T406,Aceptado, Gustavia petiolata,Especie,CS406
T407,Aceptado, Gustavia romeroi,Especie,CS407
T408,Aceptado, Lecythis mesophylla,Especie,CS408
T409,Aceptado, Lecythis tuyrana,Especie,CS409
T410,Aceptado, Freziera sericea | Nuevo taxón incluido,Especie,CS410
T411,Aceptado, Ardisia killipii | Nuevo taxón incluido,Especie,CS411
T412,Aceptado, Clavija cauliflora | Nuevo taxón incluido,Especie,CS412
T413,Aceptado, Clavija grandis | Nuevo taxón incluido,Especie,CS413
T414,Aceptado, Clavija killipii | Nuevo taxón incluido,Especie,CS414
T415,Aceptado, Clavija plumbea | Nuevo taxón incluido,Especie,CS415
T416,Aceptado, Clavija sanctae-martae | Nuevo taxón incluido,Especie,CS416
T417,Aceptado, Cybianthus cogolloi | Nuevo taxón incluido,Especie,CS417
T418,Aceptado, Geissanthus callejasii | Nuevo taxón incluido,Especie,CS418
T419,Aceptado, Geissanthus cestrifolius | Nuevo taxón incluido,Especie,CS419
T420,Aceptado, Geissanthus francoae | Nuevo taxón incluido,Especie,CS420
T421,Aceptado, Geissanthus goudotianus | Nuevo taxón incluido,Especie,CS421
T422,Aceptado, Geissanthus kalbreyeri | Nuevo taxón incluido,Especie,CS422
T423,Aceptado, Geissanthus sessiliflorus | Nuevo taxón incluido,Especie,CS423
T424,Aceptado, Hymenandra callejasii | Nuevo taxón incluido,Especie,CS424
T425,Aceptado, Myrsine paramensis | Nuevo taxón incluido,Especie,CS425
T426,Aceptado, Myrsine perreticulata | Nuevo taxón incluido,Especie,CS426
T427,Aceptado, Chrysophyllum euryphyllum | Nuevo taxón incluido,Especie,CS427
T428,Aceptado, Styrax lasiocalyx | Nuevo taxón incluido,Especie,CS428
T429,Aceptado, Styrax schultzei | Nuevo taxón incluido,Especie,CS429
T430,Aceptado, Symplocos lehmannii | Nuevo taxón incluido,Especie,CS430
T431,Aceptado, Symplocos phaeoneura | Nuevo taxón incluido,Especie,CS431
T432,Aceptado, Symplocos pichindensis | Nuevo taxón incluido,Especie,CS432
T433,Aceptado, Symplocos quindiuensis | Nuevo taxón incluido,Especie,CS433
T434,Aceptado, Symplocos rhomboidea | Nuevo taxón incluido,Especie,CS434
T435,Aceptado, Symplocos trianae | Nuevo taxón incluido,Especie,CS435
T436,Aceptado, Symplocos venulosa | Nuevo taxón incluido,Especie,CS436
T437,Aceptado, Aspidosperma polyneuron,Especie,CS437
T438,Aceptado, Lacmellea abbreviata | Nuevo taxón incluido,Especie,CS438
T439,Aceptado, Malouetia cuatrecasatis | Nuevo taxón incluido,Especie,CS439
T440,Aceptado, Mandevilla aridana | Nuevo taxón incluido,Especie,CS440
T441,Aceptado, Metastelma atrovirens | Nuevo taxón incluido,Especie,CS441
T442,Aceptado, Arachnothryx educta | Nuevo taxón incluido,Especie,CS442
T443,Aceptado, Arachnothryx euryphylla,Especie,CS443
T444,Aceptado, Arachnothryx guettardioides,Especie,CS444
T445,Aceptado, Chomelia longiflora,Especie,CS445
T446,Aceptado, Coussarea antioquiana,Especie,CS446
T447,Aceptado, Coussarea insolita,Especie,CS447
T448,Aceptado, Elaeagia barbata | Nuevo taxón incluido,Especie,CS448
T449,Aceptado, Guettarda ocoteifolia | Nuevo taxón incluido,Especie,CS449
T450,Aceptado, Joosia antioquiana | Nuevo taxón incluido,Especie,CS450
T451,Aceptado, Macrocnemum stylocarpum,Especie,CS451
T452,Aceptado, Palicourea antioquiana,Especie,CS452
T453,Aceptado, Palicourea denslowiae,Especie,CS453
T454,Aceptado, Palicourea killipii,Especie,CS454
T455,Aceptado, Psychotria altiplanensis | Nuevo taxón incluido,Especie,CS455
T456,Aceptado, Psychotria gallerana | Nuevo taxón incluido,Especie,CS456
T457,Aceptado, Psychotria ovatistipula | Nuevo taxón incluido,Especie,CS457
T458,Aceptado, Rudgea vallis | Nuevo taxón incluido,Especie,CS458
T459,Aceptado, Simira cesariana | Nuevo taxón incluido,Especie,CS459
T460,Aceptado, Simira hirsuta | Nuevo taxón incluido,Especie,CS460
T461,Aceptado, Aphelandra porphyrocarpa | Nuevo taxón incluido,Especie,CS461
T462,Aceptado, Aphelandra taborensis | Nuevo taxón incluido,Especie,CS462
T463,Aceptado, Ruellia potamophila | Nuevo taxón incluido,Especie,CS463
T464,Aceptado, Handroanthus coralibe | Nuevo taxón incluido,Especie,CS464
T465,Aceptado, Romeroa verticillata | Nuevo taxón incluido,Especie,CS465
T466,Aceptado, Adenocalymma magdalenense,Especie,CS466
T467,Aceptado, Besleria decipiens,Especie,CS467
T468,Aceptado, Aegiphila pennellii | Nuevo taxón incluido,Especie,CS468
T469,Aceptado, Aegiphila sylvatica | Nuevo taxón incluido,Especie,CS469
T470,Aceptado, Hyptidendron arboreum,Especie,CS470
T471,Aceptado, Hyptis purdiei,Especie,CS471
T472,Aceptado, Lepechinia betonicifolia,Especie,CS472
T473,Aceptado, Lepechinia cocuyensis,Especie,CS473
T474,Aceptado, Lepechinia velutina,Especie,CS474
T475,Aceptado, Lepechinia vulcanicola,Especie,CS475
T476,Aceptado, Mesosphaerum diffusum | Actualización nomenclatural,Especie,CS476
T477,Aceptado, Mesosphaerum melissoides | Actualización nomenclatural,Especie,CS477
T478,Aceptado, Mesosphaerum obtusatum | Actualización nomenclatural,Especie,CS478
T479,Aceptado, Mesosphaerum perbullatum | Actualización nomenclatural,Especie,CS479
T480,Aceptado, Salvia alvajaca,Especie,CS480
T481,Aceptado, Salvia ampelophylla,Especie,CS481
T482,Aceptado, Salvia carbonoi,Especie,CS482
T483,Aceptado, Salvia chicamochae,Especie,CS483
T484,Aceptado, Salvia cocuyana | Mantiene categoría Resolución 1912 de 2017,Especie,CS484
T485,Aceptado, Salvia codazziana,Especie,CS485
T486,Aceptado, Salvia corrugata,Especie,CS486
T487,Aceptado, Salvia cyanotropha,Especie,CS487
T488,Aceptado, Salvia falcata,Especie,CS488
T489,Aceptado, Salvia funckii,Especie,CS489
T490,Aceptado, Salvia hermesiana,Especie,CS490
T491,Aceptado, Salvia jaramilloi,Especie,CS491
T492,Aceptado, Salvia libanensis,Especie,CS492
T493,Aceptado, Salvia macrostachya,Especie,CS493
T494,Aceptado, Salvia manaurica,Especie,CS494
T495,Aceptado, Salvia nubigena | Mantiene categoría Resolución 1912 de 2017,Especie,CS495
T496,Aceptado, Salvia pamplonitana,Especie,CS496
T497,Aceptado, Salvia paramicola | Pasa de EN a VU,Especie,CS497
T498,Aceptado, Salvia rubriflora,Especie,CS498
T499,Aceptado, Salvia sagittata,Especie,CS499
T500,Aceptado, Salvia sciaphila,Especie,CS500
T501,Aceptado, Salvia sochensis,Especie,CS501
T502,Aceptado, Salvia sordida,Especie,CS502
T503,Aceptado, Salvia tolimensis,Especie,CS503
T504,Aceptado, Salvia uribei,Especie,CS504
T505,Aceptado, Salvia venulosa,Especie,CS505
T506,Aceptado, Salvia xeropapillosa,Especie,CS506
T507,Aceptado, Satureja anachoreta,Especie,CS507
T508,Sinónimo, Scutellaria cuatrecasana,Especie,CS508
T509,Aceptado, Scutellaria hookeri,Especie,CS509
T510,Aceptado, Scutellaria parrae,Especie,CS510
T511,Aceptado, Scutellaria pseudocoleus,Especie,CS511
T512,Aceptado, Scutellaria roseocyanea,Especie,CS512
T513,Aceptado, Stachys radicans,Especie,CS513
T514,Aceptado, Vitex columbiensis | Nuevo taxón incluido,Especie,CS514
T515,Aceptado, Chionanthus abriaquiensis,Especie,CS515
T516,Aceptado, Aragoa abscondita | Nuevo taxón incluido,Especie,CS516
T517,Aceptado, Aragoa corrugatifolia,Especie,CS517
T518,Aceptado, Aragoa cupressina,Especie,CS518
T519,Aceptado, Aragoa dugandii,Especie,CS519
T520,Aceptado, Aragoa hammenii,Especie,CS520
T521,Aceptado, Aragoa parviflora,Especie,CS521
T522,Aceptado, Aragoa perez-arbelaeziana,Especie,CS522
T523,Aceptado, Aragoa picachensis,Especie,CS523
T524,Aceptado, Citharexylum vallense | Nuevo taxón incluido,Especie,CS524
T525,Aceptado, Metteniusa cundinamarcensis | Nuevo taxón incluido,Especie,CS525
T526,Aceptado, Metteniusa huilensis | Nuevo taxón incluido,Especie,CS526
T527,Aceptado, Metteniusa santanderensis | Nuevo taxón incluido,Especie,CS527
T528,Aceptado, Cestrum killipii | Nuevo taxón incluido,Especie,CS528
T529,Aceptado, Solanum humboldtianum | Nuevo taxón incluido,Especie,CS529
T530,Aceptado, Browningia hernandezii | Nuevo taxón incluido,Especie,CS530
T531,Aceptado, Cephalotomandra fragrans | Nuevo taxón incluido,Especie,CS531
T532,Aceptado, Guapira uberrima | Nuevo taxón incluido,Especie,CS532
T533,Aceptado, Triplaris purdiei | Nuevo taxón incluido,Especie,CS533
T534,Aceptado, Tripodanthus belmirensis | Nuevo taxón incluido,Especie,CS534
T535,Aceptado, Phoradendron longissimum,Especie,CS535
T536,Aceptado, Phoradendron lorifolium,Especie,CS536
T537,Aceptado, Acoelorraphe wrightii,Especie,CS537
T538,Aceptado, Aiphanes acaulis,Especie,CS538
T539,Aceptado, Aiphanes buenaventurae,Especie,CS539
T540,Aceptado, Aiphanes duquei,Especie,CS540
T541,Aceptado, Aiphanes gelatinosa,Especie,CS541
T542,Aceptado, Aiphanes graminifolia,Especie,CS542
T543,Aceptado, Aiphanes killipii,Especie,CS543
T544,Aceptado, Aiphanes leiostachys,Especie,CS544
T545,Aceptado, Aiphanes lindeniana,Especie,CS545
T546,Aceptado, Aiphanes parvifolia,Especie,CS546
T547,Aceptado, Aiphanes pilaris | Nuevo taxón incluido,Especie,CS547
T548,Aceptado, Astrocaryum malybo,Especie,CS548
T549,Aceptado, Astrocaryum triandrum | Nuevo taxón incluido,Especie,CS549
T550,Aceptado, Attalea amygdalina,Especie,CS550
T551,Aceptado, Attalea cohune,Especie,CS551
T552,Aceptado, Attalea colenda,Especie,CS552
T553,Aceptado, Attalea iguadummat,Especie,CS553
T554,Aceptado, Attalea nucifera,Especie,CS554
T555,Aceptado, Bactris charnleyae,Especie,CS555
T556,Aceptado, Bactris rostrata,Especie,CS556
T557,Aceptado, Calyptrogyne costatifrons,Especie,CS557
T558,Aceptado, Ceroxylon alpinum,Especie,CS558
T559,Aceptado, Ceroxylon ceriferum,Especie,CS559
T560,Aceptado, Ceroxylon parvifrons,Especie,CS560
T561,Aceptado, Ceroxylon quindiuense,Especie,CS561
T562,Aceptado, Ceroxylon sasaimae,Especie,CS562
T563,Aceptado, Ceroxylon ventricosum,Especie,CS563
T564,Aceptado, Ceroxylon vogelianum,Especie,CS564
T565,Aceptado, Chamaedorea pumila,Especie,CS565
T566,Aceptado, Chamaedorea pygmaea,Especie,CS566
T567,Aceptado, Chamaedorea ricardoi,Especie,CS567
T568,Aceptado, Chamaedorea subjectifolia,Especie,CS568
T569,Aceptado, Coccothrinax argentata,Especie,CS569
T570,Aceptado, Cryosophila kalbreyeri,Especie,CS570
T571,Aceptado, Elaeis oleifera,Especie,CS571
T572,Aceptado, Geonoma bernalii,Especie,CS572
T573,Aceptado, Geonoma chlamydostachys,Especie,CS573
T574,Aceptado, Geonoma galeanoae,Especie,CS574
T575,Aceptado, Geonoma santanderensis,Especie,CS575
T576,Aceptado, Hyospathe frontinensis | Corrección ortográfica | Mantiene categoría Resolución 1912 de 2017,Especie,CS576
T577,Aceptado, Hyospathe wendlandiana,Especie,CS577
T578,Aceptado, Oenocarpus circumtextus,Especie,CS578
T579,Aceptado, Pholidostachys panamensis,Especie,CS579
T580,Aceptado, Pholidostachys sanluisensis,Especie,CS580
T581,Aceptado, Phytelephas tumacana,Especie,CS581
T582,Aceptado, Reinhardtia gracilis,Especie,CS582
T583,Aceptado, Reinhardtia koschnyana,Especie,CS583
T584,Aceptado, Reinhardtia simplex,Especie,CS584
T585,Aceptado, Roystonea oleracea,Especie,CS585
T586,Aceptado, Sabinaria magnifica,Especie,CS586
T587,Aceptado, Syagrus sancona,Especie,CS587
T588,Aceptado, Wettinia hirsuta,Especie,CS588
T589,Aceptado, Wettinia microcarpa | Nuevo taxón incluido,Especie,CS589
T590,Aceptado, Eucharis caucana | Nuevo taxón incluido,Especie,CS590
T591,Aceptado, Acineta antioquiae | Nuevo taxón incluido,Especie,CS591
T592,Aceptado, Acineta moorei | Nuevo taxón incluido,Especie,CS592
T593,Aceptado, Andinia monilia | Nuevo taxón incluido,Especie,CS593
T594,Aceptado, Anguloa cliftonii | Mantiene categoría Resolución 1912 de 2017,Especie,CS594
T595,Aceptado, Anguloa clowesii,Especie,CS595
T596,Aceptado, Anguloa dubia | Nuevo taxón incluido,Especie,CS596
T597,Aceptado, Anguloa eburnea,Especie,CS597
T598,Aceptado, Anguloa hohenlohii,Especie,CS598
T599,Aceptado, Anguloa virginalis,Especie,CS599
T600,Sinónimo, Byrsella fragrans | Actualización nomenclatural,Especie,CS600
T601,Aceptado, Cattleya dowiana,Especie,CS601
T602,Aceptado, Cattleya quadricolor | Mantiene categoría Resolución 1912 de 2017,Especie,CS602
T603,Aceptado, Cattleya schroederae | Pasa de VU a EN,Especie,CS603
T604,Aceptado, Cattleya trianae | Mantiene categoría Resolución 1912 de 2017,Especie,CS604
T605,Aceptado, Cattleya warscewiczii | Pasa de VU a EN,Especie,CS605
T606,Aceptado, Comparettia ignea,Especie,CS606
T607,Aceptado, Coryanthes toulemondiana | Pasa de VU a CR,Especie,CS607
T608,Aceptado, Coryanthes vieirae,Especie,CS608
T609,Aceptado, Coryanthes villegasiana | Pasa de VU a CR,Especie,CS609
T610,Aceptado, Cycnoches barthiorum,Especie,CS610
T611,Aceptado, Cycnoches brachydactylon,Especie,CS611
T612,Aceptado, Cycnoches herrenhusanum,Especie,CS612
T613,Aceptado, Cyrtochilum betancurii | Nuevo taxón incluido,Especie,CS613
T614,Aceptado, Cyrtochilum corniculatum | Nuevo taxón incluido,Especie,CS614
T615,Aceptado, Cyrtochilum englerianum | Nuevo taxón incluido,Especie,CS615
T616,Aceptado, Cyrtochilum exasperatum | Nuevo taxón incluido,Especie,CS616
T617,Aceptado, Cyrtochilum ioplocon | Actualización nomenclatural,Especie,CS617
T618,Aceptado, Cyrtochilum ixioides | Actualización nomenclatural,Especie,CS618
T619,Aceptado, Cyrtochilum leucopterum | Actualización nomenclatural,Especie,CS619
T620,Aceptado, Cyrtochilum misasianum | Nuevo taxón incluido,Especie,CS620
T621,Aceptado, Dracula alcithoë,Especie,CS621
T622,Aceptado, Dracula amaliae,Especie,CS622
T623,Aceptado, Dracula andreettae,Especie,CS623
T624,Aceptado, Dracula aphrodes,Especie,CS624
T625,Aceptado, Dracula bella,Especie,CS625
T626,Aceptado, Dracula bellerophon,Especie,CS626
T627,Aceptado, Dracula benedictii,Especie,CS627
T628,Aceptado, Dracula berthae,Especie,CS628
T629,Aceptado, Dracula carcinopsis,Especie,CS629
T630,Aceptado, Dracula chiroptera,Especie,CS630
T631,Aceptado, Dracula citrina,Especie,CS631
T632,Aceptado, Dracula cochliops,Especie,CS632
T633,Aceptado, Dracula cutis-bufonis,Especie,CS633
T634,Aceptado, Dracula decussata,Especie,CS634
T635,Aceptado, Dracula diabola,Especie,CS635
T636,Aceptado, Dracula diana,Especie,CS636
T637,Aceptado, Dracula exasperata,Especie,CS637
T638,Aceptado, Dracula gigas,Especie,CS638
T639,Aceptado, Dracula gorgona,Especie,CS639
T640,Aceptado, Dracula gorgonella,Especie,CS640
T641,Aceptado, Dracula insolita,Especie,CS641
T642,Aceptado, Dracula lehmanniana,Especie,CS642
T643,Aceptado, Dracula lemurella,Especie,CS643
T644,Aceptado, Dracula levii,Especie,CS644
T645,Aceptado, Dracula ligiae,Especie,CS645
T646,Aceptado, Dracula minax,Especie,CS646
T647,Aceptado, Dracula nosferatu,Especie,CS647
T648,Aceptado, Dracula nycterina,Especie,CS648
T649,Aceptado, Dracula octavioi,Especie,CS649
T650,Aceptado, Dracula ophioceps,Especie,CS650
T651,Aceptado, Dracula orientalis,Especie,CS651
T652,Aceptado, Dracula ortiziana,Especie,CS652
T653,Aceptado, Dracula pholeodytes,Especie,CS653
T654,Aceptado, Dracula posadarum,Especie,CS654
T655,Aceptado, Dracula psittacina,Especie,CS655
T656,Aceptado, Dracula robledorum,Especie,CS656
T657,Aceptado, Dracula roezlii,Especie,CS657
T658,Aceptado, Dracula sergioi,Especie,CS658
T659,Aceptado, Dracula severa,Especie,CS659
T660,Aceptado, Dracula sibundoyensis,Especie,CS660
T661,Aceptado, Dracula syndactyla,Especie,CS661
T662,Aceptado, Dracula velutina,Especie,CS662
T663,Aceptado, Dracula verticulosa,Especie,CS663
T664,Aceptado, Dracula villegasii,Especie,CS664
T665,Aceptado, Dracula vinacea,Especie,CS665
T666,Aceptado, Dracula vlad-tepes,Especie,CS666
T667,Aceptado, Elleanthus cinnabarinus | Nuevo taxón incluido,Especie,CS667
T668,Aceptado, Embreea rodigasiana | Pasa de VU a EN,Especie,CS668
T669,Aceptado, Epidendrum amayense | Nuevo taxón incluido,Especie,CS669
T670,Aceptado, Epidendrum ampelomelanoxeros | Nuevo taxón incluido,Especie,CS670
T671,Aceptado, Epidendrum cleefii | Nuevo taxón incluido,Especie,CS671
T672,Aceptado, Epidendrum decurviflorum | Nuevo taxón incluido,Especie,CS672
T673,Aceptado, Epidendrum fusagasugaënse | Nuevo taxón incluido,Especie,CS673
T674,Aceptado, Epidendrum heliconaense | Nuevo taxón incluido,Especie,CS674
T675,Aceptado, Epidendrum magnibracteum | Nuevo taxón incluido,Especie,CS675
T676,Aceptado, Epidendrum ortizii | Nuevo taxón incluido,Especie,CS676
T677,Aceptado, Epidendrum pazii | Nuevo taxón incluido,Especie,CS677
T678,Aceptado, Epidendrum sisgaense | Nuevo taxón incluido,Especie,CS678
T679,Aceptado, Epidendrum uribei | Nuevo taxón incluido,Especie,CS679
T680,Aceptado, Epidendrum wolfii | Nuevo taxón incluido,Especie,CS680
T681,Aceptado, Guarianthe patinii | Actualización nomenclatural,Especie,CS681
T682,Aceptado, Houlletia conspersa | Nuevo taxón incluido,Especie,CS682
T683,Aceptado, Lepanthes arbuscula | Nuevo taxón incluido,Especie,CS683
T684,Aceptado, Lepanthes cingens | Nuevo taxón incluido,Especie,CS684
T685,Aceptado, Lepanthes cuatrecasasii | Nuevo taxón incluido,Especie,CS685
T686,Aceptado, Lepanthes eros | Nuevo taxón incluido,Especie,CS686
T687,Aceptado, Lepanthes escobariana | Nuevo taxón incluido,Especie,CS687
T688,Aceptado, Lepanthes fibulifera | Nuevo taxón incluido,Especie,CS688
T689,Aceptado, Lepanthes ligiae | Nuevo taxón incluido,Especie,CS689
T690,Aceptado, Lepanthes oreibates | Nuevo taxón incluido,Especie,CS690
T691,Aceptado, Lepanthes osiris | Nuevo taxón incluido,Especie,CS691
T692,Aceptado, Lepanthes parmata | Nuevo taxón incluido,Especie,CS692
T693,Aceptado, Lepanthes pterygion | Nuevo taxón incluido,Especie,CS693
T694,Aceptado, Lepanthes quandi,Especie,CS694
T695,Aceptado, Lepanthes tibouchinicola | Nuevo taxón incluido,Especie,CS695
T696,Aceptado, Lycaste campbellii,Especie,CS696
T697,Aceptado, Lycaste macrobulbon,Especie,CS697
T698,Aceptado, Lycaste schilleriana,Especie,CS698
T699,Aceptado, Lycaste xytriophora,Especie,CS699
T700,Aceptado, Lycomormium schmidtii | Nuevo taxón incluido,Especie,CS700
T701,Aceptado, Masdevallia alismifolia,Especie,CS701
T702,Aceptado, Masdevallia angulifera,Especie,CS702
T703,Aceptado, Masdevallia anisomorpha,Especie,CS703
T704,Aceptado, Masdevallia apparitio,Especie,CS704
T705,Aceptado, Masdevallia arangoi,Especie,CS705
T706,Aceptado, Masdevallia buccinator,Especie,CS706
T707,Aceptado, Masdevallia cacodes,Especie,CS707
T708,Aceptado, Masdevallia caesia,Especie,CS708
T709,Aceptado, Masdevallia caudata,Especie,CS709
T710,Aceptado, Masdevallia cerastes,Especie,CS710
T711,Aceptado, Masdevallia clandestina,Especie,CS711
T712,Aceptado, Masdevallia coccinea | Mantiene categoría Resolución 1912 de 2017,Especie,CS712
T713,Aceptado, Masdevallia crescenticola | Corrección ortográfica | Mantiene categoría Resolución 1912 de 2017,Especie,CS713
T714,Aceptado, Masdevallia discolor,Especie,CS714
T715,Aceptado, Masdevallia dryada,Especie,CS715
T716,Aceptado, Masdevallia elephanticeps,Especie,CS716
T717,Aceptado, Masdevallia encephala,Especie,CS717
T718,Aceptado, Masdevallia falcago,Especie,CS718
T719,Aceptado, Masdevallia fasciata,Especie,CS719
T720,Aceptado, Masdevallia foetens,Especie,CS720
T721,Aceptado, Masdevallia gilbertoi,Especie,CS721
T722,Aceptado, Masdevallia heteroptera,Especie,CS722
T723,Aceptado, Masdevallia hians,Especie,CS723
T724,Aceptado, Masdevallia hieroglyphica,Especie,CS724
T725,Aceptado, Masdevallia hortensis,Especie,CS725
T726,Aceptado, Masdevallia hylodes,Especie,CS726
T727,Aceptado, Masdevallia ignea | Pasa de CR a EN,Especie,CS727
T728,Aceptado, Masdevallia indecora,Especie,CS728
T729,Aceptado, Masdevallia leontoglossa,Especie,CS729
T730,Aceptado, Masdevallia ludibunda,Especie,CS730
T731,Aceptado, Masdevallia macrura,Especie,CS731
T732,Aceptado, Masdevallia mandarina,Especie,CS732
T733,Aceptado, Masdevallia marthae,Especie,CS733
T734,Aceptado, Masdevallia mastodon,Especie,CS734
T735,Aceptado, Masdevallia medusa | Mantiene categoría Resolución 1912 de 2017,Especie,CS735
T736,Aceptado, Masdevallia mejiana,Especie,CS736
T737,Aceptado, Masdevallia melanoxantha,Especie,CS737
T738,Aceptado, Masdevallia meleagris,Especie,CS738
T739,Aceptado, Masdevallia misasii,Especie,CS739
T740,Aceptado, Masdevallia mooreana,Especie,CS740
T741,Aceptado, Masdevallia mutica,Especie,CS741
T742,Aceptado, Masdevallia navicularis,Especie,CS742
T743,Aceptado, Masdevallia niesseniae,Especie,CS743
T744,Aceptado, Masdevallia nivea,Especie,CS744
T745,Aceptado, Masdevallia odontocera,Especie,CS745
T746,Aceptado, Masdevallia os-draconis,Especie,CS746
T747,Aceptado, Masdevallia oscarii,Especie,CS747
T748,Aceptado, Masdevallia pachyantha,Especie,CS748
T749,Aceptado, Masdevallia pachysepala,Especie,CS749
T750,Aceptado, Masdevallia pardina,Especie,CS750
T751,Aceptado, Masdevallia pastinata,Especie,CS751
T752,Aceptado, Masdevallia pescadoënsis,Especie,CS752
T753,Aceptado, Masdevallia pteroglossa,Especie,CS753
T754,Sinónimo, Masdevallia pterygiophora,Especie,CS754
T755,Aceptado, Masdevallia purpurella,Especie,CS755
T756,Aceptado, Masdevallia racemosa | Pasa de EN a VU,Especie,CS756
T757,Aceptado, Masdevallia renzii,Especie,CS757
T758,Aceptado, Masdevallia rhinophora,Especie,CS758
T759,Aceptado, Masdevallia saltatrix,Especie,CS759
T760,Aceptado, Masdevallia sanctae-rosae,Especie,CS760
T761,Aceptado, Masdevallia schizantha,Especie,CS761
T762,Aceptado, Masdevallia schlimii,Especie,CS762
T763,Aceptado, Masdevallia schmidt-mummii,Especie,CS763
T764,Aceptado, Masdevallia scobina,Especie,CS764
T765,Aceptado, Masdevallia segurae,Especie,CS765
T766,Aceptado, Masdevallia sernae,Especie,CS766
T767,Aceptado, Masdevallia siphonantha,Especie,CS767
T768,Aceptado, Masdevallia stenorhynchos | Corrección ortográfica | Mantiene categoría Resolución 1912 de 2017,Especie,CS768
T769,Aceptado, Masdevallia sumapazensis,Especie,CS769
T770,Aceptado, Masdevallia trochilus,Especie,CS770
T771,Aceptado, Masdevallia urceolaris,Especie,CS771
T772,Aceptado, Masdevallia valenciae,Especie,CS772
T773,Aceptado, Masdevallia velella,Especie,CS773
T774,Aceptado, Masdevallia velifera,Especie,CS774
T775,Aceptado, Masdevallia ventricularia,Especie,CS775
T776,Aceptado, Masdevallia vieirana,Especie,CS776
T777,Aceptado, Masdevallia virgo-cuencae,Especie,CS777
T778,Aceptado, Masdevallia wuellneri,Especie,CS778
T779,Aceptado, Masdevallia xanthina,Especie,CS779
T780,Aceptado, Masdevallia zapatae,Especie,CS780
T781,Aceptado, Miltoniopsis phalaenopsis,Especie,CS781
T782,Aceptado, Miltoniopsis vexillaria,Especie,CS782
