id_nomenclatura,estado_amenaza,codigo_int,id_amenaza
ICN,EN,265,E265
ICN,VU,266,E266
ICN,VU,267,E267
ICN,CR,268,E268
ICN,CR,269,E269
ICN,EN,270,E270
ICN,CR,271,E271
ICN,CR,272,E272
ICN,EN,273,E273
ICN,VU,274,E274
ICN,EN,275,E275
ICN,CR,276,E276
ICN,EN,277,E277
ICN,EN,278,E278
ICN,VU,279,E279
ICN,CR,280,E280
ICN,VU,281,E281
ICN,CR,282,E282
ICN,EN,283,E283
ICN,CR,284,E284
ICN,EN,285,E285
ICN,CR,286,E286
ICN,CR,287,E287
ICN,CR,288,E288
ICN,EN,289,E289
ICN,VU,290,E290
ICN,EN,291,E291
ICN,VU,292,E292
ICN,EN,293,E293
ICN,EN,294,E294
ICN,EN,295,E295
ICN,EN,296,E296
ICN,EN,297,E297
ICN,VU,298,E298
ICN,VU,299,E299
ICN,CR,300,E300
ICN,EN,301,E301
ICN,EN,302,E302
ICN,EN,303,E303
ICN,EN,304,E304
ICN,VU,305,E305
ICN,VU,306,E306
ICN,EN,307,E307
ICN,EN,308,E308
ICN,CR,309,E309
ICN,VU,310,E310
ICN,EN,311,E311
ICN,EN,312,E312
ICN,VU,313,E313
ICN,EN,314,E314
ICN,VU,315,E315
ICN,EN,316,E316
ICN,VU,317,E317
ICN,VU,318,E318
ICN,CR,319,E319
ICN,VU,320,E320
ICN,VU,321,E321
ICN,VU,322,E322
ICN,EN,323,E323
ICN,EN,324,E324
ICN,EN,325,E325
ICN,CR,326,E326
ICN,EN,327,E327
ICN,EN,328,E328
ICN,EN,329,E329
ICN,EN,330,E330
ICN,EN,331,E331
ICN,EN,332,E332
ICN,VU,333,E333
ICN,EN,334,E334
ICN,EN,335,E335
ICN,VU,336,E336
ICN,VU,337,E337
ICN,EN,338,E338
ICN,EN,339,E339
ICN,EN,340,E340
ICN,VU,341,E341
ICN,EN,342,E342
ICN,EN,343,E343
ICN,EN,344,E344
ICN,EN,345,E345
ICN,CR,346,E346
ICN,EN,347,E347
ICN,EN,348,E348
ICN,EN,349,E349
ICN,EN,350,E350
ICN,EN,351,E351
ICN,VU,352,E352
ICN,EN,353,E353
ICN,EN,354,E354
ICN,VU,355,E355
ICN,VU,356,E356
ICN,CR,357,E357
ICN,VU,358,E358
ICN,EN,359,E359
ICN,CR,360,E360
ICN,CR,361,E361
ICN,EN,362,E362
ICN,VU,363,E363
ICN,CR,364,E364
ICN,EN,365,E365
ICN,CR,366,E366
ICN,VU,367,E367
ICN,VU,368,E368
ICN,CR,369,E369
ICN,EN,370,E370
ICN,EN,371,E371
ICN,VU,372,E372
ICN,EN,373,E373
ICN,EN,374,E374
ICN,VU,375,E375
ICN,EN,376,E376
ICN,EN,377,E377
ICN,EN,378,E378
ICN,EN,379,E379
ICN,VU,380,E380
ICN,EN,381,E381
ICN,VU,382,E382
ICN,VU,383,E383
ICN,VU,384,E384
ICN,CR,385,E385
ICN,VU,386,E386
ICN,CR,387,E387
ICN,VU,388,E388
ICN,VU,389,E389
ICN,EN,390,E390
ICN,VU,391,E391
ICN,VU,392,E392
ICN,VU,393,E393
ICN,VU,394,E394
ICN,EN,395,E395
