codigo_int,genero,epiteto_especifico,epiteto_intraespecifico,nombre_vernaculo,codigo_clasificacion
134,Colura,cylindrica,NA,NA,CS134
135,Dibrachiella,bischleriana,NA,NA,CS135
136,Lejeunea,inflexiloba,NA,NA,CS136
137,Prionolejeunea,magnistipula,NA,NA,CS137
138,Porella,brachiata,NA,NA,CS138
139,Riccia,weinionis,NA,NA,CS139
140,Alsophila,esmeraldensis,NA,NA,CS140
141,Alsophila,imrayana,NA,NA,CS141
142,Alsophila,incana,NA,NA,CS142
143,Alsophila,paucifolia,NA,NA,CS143
144,Alsophila,rupestris,NA,NA,CS144
145,Cyathea,acutidens,NA,NA,CS145
146,Cyathea,aemula,NA,NA,CS146
147,Cyathea,antioquensis,NA,NA,CS147
148,Cyathea,arborea,NA,NA,CS148
149,Cyathea,boconensis,NA,NA,CS149
150,Cyathea,callejasii,NA,NA,CS150
151,Cyathea,cardenasii,NA,NA,CS151
152,Cyathea,cervantesiana,NA,NA,CS152
153,Cyathea,clandestina,NA,NA,CS153
154,Cyathea,coloradoana,NA,NA,CS154
155,Cyathea,eggersii,NA,NA,CS155
156,Cyathea,giraldoi,NA,NA,CS156
157,Cyathea,gracilis,NA,NA,CS157
158,Cyathea,guentheriana,NA,NA,CS158
159,Cyathea,haughtii,NA,NA,CS159
160,Cyathea,kalbreyeri,NA,NA,CS160
161,Cyathea,kessleriana,NA,NA,CS161
162,Cyathea,lindigii,NA,NA,CS162
163,Cyathea,longipetiolulata,NA,NA,CS163
164,Cyathea,minuta,NA,NA,CS164
165,Cyathea,nodulifera,NA,NA,CS165
166,Cyathea,oblonga,NA,NA,CS166
167,Cyathea,obnoxia,NA,NA,CS167
168,Cyathea,pacis,NA,NA,CS168
169,Cyathea,pholidota,NA,NA,CS169
