CLASIFICACION SUPEROR ,,,,,
,,,,,
Codigo TAXONOMICO,REINO,FILIO,CLASE ,ORDEN,FAMILIA 
CS77,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hygrophoraceae
CS78,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Lepidostromataceae
CS79,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Hydnaceae
CS80,Fungi,Basidiomycota,Agaricomycetes,Lepidostromatales,Lepidostromataceae
CS81,Fungi,Basidiomycota,Agaricomycetes,Lepidostromatales,Lepidostromataceae
CS82,Plantae,Bryophyta,Bryopsida,Bryales,Bryaceae
CS83,Plantae,Bryophyta,Bryopsida,Bryales,Bryaceae
CS84,Plantae,Bryophyta,Bryopsida,Bryales,Miniaceae
CS85,Plantae,Bryophyta,Bryopsida,Dicranales,Dicranaceae
CS86,Plantae,Bryophyta,Bryopsida,Dicranales,Dicranaceae
CS87,Plantae,Bryophyta,Bryopsida,Dicranales,Ditrichaceae
CS88,Plantae,Bryophyta,Bryopsida,Hookeriales,Daltoniaceae
CS89,Plantae,Bryophyta,Bryopsida,Hookeriales,Daltoniaceae
CS90,Plantae,Bryophyta,Bryopsida,Hookeriales,Pilotrichaceae
CS91,Plantae,Bryophyta,Bryopsida,Hypnales,Brachytheciaceae
CS92,Plantae,Bryophyta,Bryopsida,Hypnales,Sematophyllaceae
CS93,Plantae,Bryophyta,Bryopsida,Hypnales,Thuidiaceae
CS94,Plantae,Bryophyta,Bryopsida,Orthotrichales,Orthotrichaceae
CS95,Plantae,Bryophyta,Bryopsida,Pottiales,Pottiaceae
CS96,Plantae,Bryophyta,Bryopsida,Splachnales,Splachnaceae
CS97,Plantae,Bryophyta,Sphagnopsida,Sphagnales,Sphagnaceae
CS98,Plantae,Bryophyta,Sphagnopsida,Sphagnales,Sphagnaceae
CS99,Plantae,Bryophyta,Sphagnopsida,Sphagnales,Sphagnaceae
CS100,Plantae,Bryophyta,Sphagnopsida,Sphagnales,Sphagnaceae
CS101,Plantae,Bryophyta,Sphagnopsida,Sphagnales,Sphagnaceae
CS102,Plantae,Bryophyta,Sphagnopsida,Sphagnales,Sphagnaceae
