CLASIFICACION SUPEROR ,,,,,
,,,,,
Codigo TAXONOMICO,REINO,FILIO,CLASE ,ORDEN,FAMILIA 
CS342,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae
CS343,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae
CS344,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Cordiaceae
CS345,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Cordiaceae
CS346,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Cordiaceae
CS347,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Cordiaceae
CS348,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Heliotropiaceae
CS349,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Heliotropiaceae
CS350,Plantae,Tracheophyta,Magnoliopsida,Dipsacales,Viburnaceae
CS351,Plantae,Tracheophyta,Magnoliopsida,Dipsacales,Viburnaceae
CS352,Plantae,Tracheophyta,Magnoliopsida,Dipsacales,Viburnaceae
CS353,Plantae,Tracheophyta,Magnoliopsida,Dipsacales,Viburnaceae
CS354,Plantae,Tracheophyta,Magnoliopsida,Dipsacales,Viburnaceae
CS355,Plantae,Tracheophyta,Magnoliopsida,Ericales,Actinidiaceae
CS356,Plantae,Tracheophyta,Magnoliopsida,Ericales,Actinidiaceae
CS357,Plantae,Tracheophyta,Magnoliopsida,Ericales,Actinidiaceae
CS358,Plantae,Tracheophyta,Magnoliopsida,Ericales,Actinidiaceae
CS359,Plantae,Tracheophyta,Magnoliopsida,Ericales,Ericaceae
CS360,Plantae,Tracheophyta,Magnoliopsida,Ericales,Ericaceae
CS361,Plantae,Tracheophyta,Magnoliopsida,Ericales,Ericaceae
CS362,Plantae,Tracheophyta,Magnoliopsida,Ericales,Ericaceae
CS363,Plantae,Tracheophyta,Magnoliopsida,Ericales,Ericaceae
CS364,Plantae,Tracheophyta,Magnoliopsida,Ericales,Ericaceae
CS365,Plantae,Tracheophyta,Magnoliopsida,Ericales,Ericaceae
CS366,Plantae,Tracheophyta,Magnoliopsida,Ericales,Ericaceae
CS367,Plantae,Tracheophyta,Magnoliopsida,Ericales,Ericaceae
CS368,Plantae,Tracheophyta,Magnoliopsida,Ericales,Ericaceae
CS369,Plantae,Tracheophyta,Magnoliopsida,Ericales,Ericaceae
CS370,Plantae,Tracheophyta,Magnoliopsida,Ericales,Ericaceae
CS371,Plantae,Tracheophyta,Magnoliopsida,Ericales,Ericaceae
CS372,Plantae,Tracheophyta,Magnoliopsida,Ericales,Ericaceae
CS373,Plantae,Tracheophyta,Magnoliopsida,Ericales,Ericaceae
CS374,Plantae,Tracheophyta,Magnoliopsida,Ericales,Ericaceae
CS375,Plantae,Tracheophyta,Magnoliopsida,Ericales,Ericaceae
CS376,Plantae,Tracheophyta,Magnoliopsida,Ericales,Ericaceae
CS377,Plantae,Tracheophyta,Magnoliopsida,Ericales,Ericaceae
CS378,Plantae,Tracheophyta,Magnoliopsida,Ericales,Ericaceae
CS379,Plantae,Tracheophyta,Magnoliopsida,Ericales,Ericaceae
CS380,Plantae,Tracheophyta,Magnoliopsida,Ericales,Ericaceae
CS381,Plantae,Tracheophyta,Magnoliopsida,Ericales,Ericaceae
CS382,Plantae,Tracheophyta,Magnoliopsida,Ericales,Ericaceae
CS383,Plantae,Tracheophyta,Magnoliopsida,Ericales,Ericaceae
CS384,Plantae,Tracheophyta,Magnoliopsida,Ericales,Ericaceae
CS385,Plantae,Tracheophyta,Magnoliopsida,Ericales,Ericaceae
CS386,Plantae,Tracheophyta,Magnoliopsida,Ericales,Lecythidaceae
CS387,Plantae,Tracheophyta,Magnoliopsida,Ericales,Lecythidaceae
CS388,Plantae,Tracheophyta,Magnoliopsida,Ericales,Lecythidaceae
CS389,Plantae,Tracheophyta,Magnoliopsida,Ericales,Lecythidaceae
CS390,Plantae,Tracheophyta,Magnoliopsida,Ericales,Lecythidaceae
CS391,Plantae,Tracheophyta,Magnoliopsida,Ericales,Lecythidaceae
CS392,Plantae,Tracheophyta,Magnoliopsida,Ericales,Lecythidaceae
CS393,Plantae,Tracheophyta,Magnoliopsida,Ericales,Lecythidaceae
CS394,Plantae,Tracheophyta,Magnoliopsida,Ericales,Lecythidaceae
CS395,Plantae,Tracheophyta,Magnoliopsida,Ericales,Lecythidaceae
CS396,Plantae,Tracheophyta,Magnoliopsida,Ericales,Lecythidaceae
CS397,Plantae,Tracheophyta,Magnoliopsida,Ericales,Lecythidaceae
CS398,Plantae,Tracheophyta,Magnoliopsida,Ericales,Lecythidaceae
CS399,Plantae,Tracheophyta,Magnoliopsida,Ericales,Lecythidaceae
CS400,Plantae,Tracheophyta,Magnoliopsida,Ericales,Lecythidaceae
CS401,Plantae,Tracheophyta,Magnoliopsida,Ericales,Lecythidaceae
CS402,Plantae,Tracheophyta,Magnoliopsida,Ericales,Lecythidaceae
CS403,Plantae,Tracheophyta,Magnoliopsida,Ericales,Lecythidaceae
CS404,Plantae,Tracheophyta,Magnoliopsida,Ericales,Lecythidaceae
CS405,Plantae,Tracheophyta,Magnoliopsida,Ericales,Lecythidaceae
CS406,Plantae,Tracheophyta,Magnoliopsida,Ericales,Lecythidaceae
CS407,Plantae,Tracheophyta,Magnoliopsida,Ericales,Lecythidaceae
CS408,Plantae,Tracheophyta,Magnoliopsida,Ericales,Lecythidaceae
CS409,Plantae,Tracheophyta,Magnoliopsida,Ericales,Lecythidaceae
CS410,Plantae,Tracheophyta,Magnoliopsida,Ericales,Pentaphylacaceae
CS411,Plantae,Tracheophyta,Magnoliopsida,Ericales,Primulaceae
CS412,Plantae,Tracheophyta,Magnoliopsida,Ericales,Primulaceae
CS413,Plantae,Tracheophyta,Magnoliopsida,Ericales,Primulaceae
CS414,Plantae,Tracheophyta,Magnoliopsida,Ericales,Primulaceae
CS415,Plantae,Tracheophyta,Magnoliopsida,Ericales,Primulaceae
CS416,Plantae,Tracheophyta,Magnoliopsida,Ericales,Primulaceae
CS417,Plantae,Tracheophyta,Magnoliopsida,Ericales,Primulaceae
CS418,Plantae,Tracheophyta,Magnoliopsida,Ericales,Primulaceae
CS419,Plantae,Tracheophyta,Magnoliopsida,Ericales,Primulaceae
CS420,Plantae,Tracheophyta,Magnoliopsida,Ericales,Primulaceae
CS421,Plantae,Tracheophyta,Magnoliopsida,Ericales,Primulaceae
CS422,Plantae,Tracheophyta,Magnoliopsida,Ericales,Primulaceae
CS423,Plantae,Tracheophyta,Magnoliopsida,Ericales,Primulaceae
CS424,Plantae,Tracheophyta,Magnoliopsida,Ericales,Primulaceae
CS425,Plantae,Tracheophyta,Magnoliopsida,Ericales,Primulaceae
CS426,Plantae,Tracheophyta,Magnoliopsida,Ericales,Primulaceae
CS427,Plantae,Tracheophyta,Magnoliopsida,Ericales,Sapotaceae
CS428,Plantae,Tracheophyta,Magnoliopsida,Ericales,Styracaceae
CS429,Plantae,Tracheophyta,Magnoliopsida,Ericales,Styracaceae
CS430,Plantae,Tracheophyta,Magnoliopsida,Ericales,Symplocaceae
CS431,Plantae,Tracheophyta,Magnoliopsida,Ericales,Symplocaceae
CS432,Plantae,Tracheophyta,Magnoliopsida,Ericales,Symplocaceae
CS433,Plantae,Tracheophyta,Magnoliopsida,Ericales,Symplocaceae
CS434,Plantae,Tracheophyta,Magnoliopsida,Ericales,Symplocaceae
CS435,Plantae,Tracheophyta,Magnoliopsida,Ericales,Symplocaceae
CS436,Plantae,Tracheophyta,Magnoliopsida,Ericales,Symplocaceae
CS437,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae
CS438,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae
CS439,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae
CS440,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae
CS441,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae
CS442,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae
CS443,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae
CS444,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae
CS445,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae
CS446,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae
CS447,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae
CS448,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae
CS449,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae
CS450,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae
CS451,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae
CS452,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae
CS453,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae
CS454,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae
CS455,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae
CS456,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae
CS457,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae
CS458,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae
CS459,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae
CS460,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae
CS461,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Acanthaceae
CS462,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Acanthaceae
CS463,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Acanthaceae
CS464,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Bignoniaceae
CS465,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Bignoniaceae
CS466,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Bignoniaceae
CS467,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Gesneriaceae
CS468,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae
CS469,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae
CS470,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae
CS471,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae
CS472,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae
CS473,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae
CS474,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae
CS475,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae
CS476,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae
CS477,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae
CS478,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae
CS479,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae
CS480,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae
CS481,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae
CS482,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae
CS483,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae
CS484,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae
CS485,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae
CS486,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae
CS487,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae
CS488,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae
CS489,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae
CS490,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae
CS491,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae
CS492,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae
CS493,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae
CS494,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae
CS495,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae
CS496,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae
CS497,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae
CS498,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae
CS499,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae
CS500,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae
CS501,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae
CS502,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae
CS503,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae
CS504,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae
CS505,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae
CS506,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae
CS507,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae
CS508,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae
CS509,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae
CS510,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae
CS511,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae
CS512,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae
CS513,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae
CS514,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae
CS515,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Oleaceae
CS516,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Plantaginaceae
CS517,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Plantaginaceae
CS518,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Plantaginaceae
CS519,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Plantaginaceae
CS520,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Plantaginaceae
CS521,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Plantaginaceae
CS522,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Plantaginaceae
CS523,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Plantaginaceae
CS524,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Verbenaceae
CS525,Plantae,Tracheophyta,Magnoliopsida,Metteniusales,Metteniusaceae
CS526,Plantae,Tracheophyta,Magnoliopsida,Metteniusales,Metteniusaceae
CS527,Plantae,Tracheophyta,Magnoliopsida,Metteniusales,Metteniusaceae
CS528,Plantae,Tracheophyta,Magnoliopsida,Solanales,Solanaceae
CS529,Plantae,Tracheophyta,Magnoliopsida,Solanales,Solanaceae
CS530,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Cactaceae
CS531,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Nyctaginaceae
CS532,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Nyctaginaceae
CS533,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Polygonaceae
CS534,Plantae,Tracheophyta,Magnoliopsida,Santalales,Loranthaceae
CS535,Plantae,Tracheophyta,Magnoliopsida,Santalales,Santalaceae
CS536,Plantae,Tracheophyta,Magnoliopsida,Santalales,Santalaceae
CS537,Plantae,Tracheophyta,Magnoliopsida,Arecales,Arecaceae
CS538,Plantae,Tracheophyta,Magnoliopsida,Arecales,Arecaceae
CS539,Plantae,Tracheophyta,Magnoliopsida,Arecales,Arecaceae
CS540,Plantae,Tracheophyta,Magnoliopsida,Arecales,Arecaceae
CS541,Plantae,Tracheophyta,Magnoliopsida,Arecales,Arecaceae
CS542,Plantae,Tracheophyta,Magnoliopsida,Arecales,Arecaceae
CS543,Plantae,Tracheophyta,Magnoliopsida,Arecales,Arecaceae
CS544,Plantae,Tracheophyta,Magnoliopsida,Arecales,Arecaceae
CS545,Plantae,Tracheophyta,Magnoliopsida,Arecales,Arecaceae
CS546,Plantae,Tracheophyta,Magnoliopsida,Arecales,Arecaceae
CS547,Plantae,Tracheophyta,Magnoliopsida,Arecales,Arecaceae
CS548,Plantae,Tracheophyta,Magnoliopsida,Arecales,Arecaceae
CS549,Plantae,Tracheophyta,Magnoliopsida,Arecales,Arecaceae
CS550,Plantae,Tracheophyta,Magnoliopsida,Arecales,Arecaceae
CS551,Plantae,Tracheophyta,Magnoliopsida,Arecales,Arecaceae
CS552,Plantae,Tracheophyta,Magnoliopsida,Arecales,Arecaceae
CS553,Plantae,Tracheophyta,Magnoliopsida,Arecales,Arecaceae
CS554,Plantae,Tracheophyta,Magnoliopsida,Arecales,Arecaceae
CS555,Plantae,Tracheophyta,Magnoliopsida,Arecales,Arecaceae
CS556,Plantae,Tracheophyta,Magnoliopsida,Arecales,Arecaceae
CS557,Plantae,Tracheophyta,Magnoliopsida,Arecales,Arecaceae
CS558,Plantae,Tracheophyta,Magnoliopsida,Arecales,Arecaceae
CS559,Plantae,Tracheophyta,Magnoliopsida,Arecales,Arecaceae
CS560,Plantae,Tracheophyta,Magnoliopsida,Arecales,Arecaceae
CS561,Plantae,Tracheophyta,Magnoliopsida,Arecales,Arecaceae
CS562,Plantae,Tracheophyta,Magnoliopsida,Arecales,Arecaceae
CS563,Plantae,Tracheophyta,Magnoliopsida,Arecales,Arecaceae
CS564,Plantae,Tracheophyta,Magnoliopsida,Arecales,Arecaceae
CS565,Plantae,Tracheophyta,Magnoliopsida,Arecales,Arecaceae
CS566,Plantae,Tracheophyta,Magnoliopsida,Arecales,Arecaceae
CS567,Plantae,Tracheophyta,Magnoliopsida,Arecales,Arecaceae
CS568,Plantae,Tracheophyta,Magnoliopsida,Arecales,Arecaceae
CS569,Plantae,Tracheophyta,Magnoliopsida,Arecales,Arecaceae
CS570,Plantae,Tracheophyta,Magnoliopsida,Arecales,Arecaceae
CS571,Plantae,Tracheophyta,Magnoliopsida,Arecales,Arecaceae
CS572,Plantae,Tracheophyta,Magnoliopsida,Arecales,Arecaceae
CS573,Plantae,Tracheophyta,Magnoliopsida,Arecales,Arecaceae
CS574,Plantae,Tracheophyta,Magnoliopsida,Arecales,Arecaceae
CS575,Plantae,Tracheophyta,Magnoliopsida,Arecales,Arecaceae
CS576,Plantae,Tracheophyta,Magnoliopsida,Arecales,Arecaceae
CS577,Plantae,Tracheophyta,Magnoliopsida,Arecales,Arecaceae
CS578,Plantae,Tracheophyta,Magnoliopsida,Arecales,Arecaceae
CS579,Plantae,Tracheophyta,Magnoliopsida,Arecales,Arecaceae
CS580,Plantae,Tracheophyta,Magnoliopsida,Arecales,Arecaceae
CS581,Plantae,Tracheophyta,Magnoliopsida,Arecales,Arecaceae
CS582,Plantae,Tracheophyta,Magnoliopsida,Arecales,Arecaceae
CS583,Plantae,Tracheophyta,Magnoliopsida,Arecales,Arecaceae
CS584,Plantae,Tracheophyta,Magnoliopsida,Arecales,Arecaceae
CS585,Plantae,Tracheophyta,Magnoliopsida,Arecales,Arecaceae
CS586,Plantae,Tracheophyta,Magnoliopsida,Arecales,Arecaceae
CS587,Plantae,Tracheophyta,Magnoliopsida,Arecales,Arecaceae
CS588,Plantae,Tracheophyta,Magnoliopsida,Arecales,Arecaceae
CS589,Plantae,Tracheophyta,Magnoliopsida,Arecales,Arecaceae
CS590,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Amaryllidaceae
CS591,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Orchidaceae
CS592,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Orchidaceae
CS593,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Orchidaceae
CS594,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Orchidaceae
CS595,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Orchidaceae
CS596,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Orchidaceae
CS597,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Orchidaceae
CS598,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Orchidaceae
CS599,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Orchidaceae
CS600,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Orchidaceae
CS601,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Orchidaceae
CS602,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Orchidaceae
CS603,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Orchidaceae
CS604,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Orchidaceae
CS605,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Orchidaceae
CS606,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Orchidaceae
CS607,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Orchidaceae
CS608,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Orchidaceae
CS609,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Orchidaceae
CS610,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Orchidaceae
CS611,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Orchidaceae
CS612,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Orchidaceae
CS613,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Orchidaceae
CS614,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Orchidaceae
CS615,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Orchidaceae
CS616,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Orchidaceae
CS617,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Orchidaceae
CS618,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Orchidaceae
CS619,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Orchidaceae
CS620,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Orchidaceae
CS621,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Orchidaceae
CS622,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Orchidaceae
CS623,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Orchidaceae
CS624,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Orchidaceae
CS625,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Orchidaceae
CS626,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Orchidaceae
CS627,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Orchidaceae
CS628,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Orchidaceae
CS629,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Orchidaceae
CS630,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Orchidaceae
CS631,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Orchidaceae
CS632,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Orchidaceae
CS633,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Orchidaceae
CS634,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Orchidaceae
CS635,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Orchidaceae
CS636,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Orchidaceae
CS637,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Orchidaceae
CS638,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Orchidaceae
CS639,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Orchidaceae
CS640,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Orchidaceae
CS641,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Orchidaceae
CS642,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Orchidaceae
CS643,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Orchidaceae
CS644,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Orchidaceae
CS645,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Orchidaceae
CS646,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Orchidaceae
CS647,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Orchidaceae
CS648,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Orchidaceae
CS649,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Orchidaceae
CS650,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Orchidaceae
CS651,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Orchidaceae
CS652,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Orchidaceae
CS653,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Orchidaceae
CS654,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Orchidaceae
CS655,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Orchidaceae
CS656,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Orchidaceae
CS657,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Orchidaceae
CS658,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Orchidaceae
CS659,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Orchidaceae
CS660,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Orchidaceae
CS661,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Orchidaceae
CS662,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Orchidaceae
CS663,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Orchidaceae
CS664,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Orchidaceae
CS665,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Orchidaceae
CS666,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Orchidaceae
CS667,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Orchidaceae
CS668,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Orchidaceae
CS669,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Orchidaceae
CS670,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Orchidaceae
CS671,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Orchidaceae
CS672,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Orchidaceae
CS673,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Orchidaceae
CS674,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Orchidaceae
CS675,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Orchidaceae
CS676,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Orchidaceae
CS677,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Orchidaceae
CS678,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Orchidaceae
CS679,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Orchidaceae
CS680,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Orchidaceae
CS681,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Orchidaceae
CS682,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Orchidaceae
CS683,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Orchidaceae
CS684,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Orchidaceae
CS685,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Orchidaceae
CS686,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Orchidaceae
CS687,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Orchidaceae
CS688,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Orchidaceae
CS689,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Orchidaceae
CS690,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Orchidaceae
CS691,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Orchidaceae
CS692,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Orchidaceae
CS693,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Orchidaceae
